x (m),y (m),flux (kW/m2)
1.32,3.56,0.0118
1.4,3.56,0.0106
1.48,3.56,0.00942
1.56,3.56,0.00834
1.64,3.56,0.00734
1.72,3.56,0.00642
1.8,3.56,0.00557
1.88,3.56,0.00481
1.96,3.56,0.00413
2.04,3.56,0.00352
2.12,3.56,0.00298
2.2,3.56,0.0025
2.28,3.56,0.00209
2.36,3.56,0.00174
2.44,3.56,0.00144
2.52,3.56,0.00118
2.6,3.56,0.000959
2.68,3.56,0.000776
2.76,3.56,0.000625
2.84,3.56,0.000499
2.92,3.56,0.000397
3,3.56,0.000313
3.08,3.56,0.000245
3.16,3.56,0.000191
3.24,3.56,0.000148
3.32,3.56,0.000114
3.4,3.56,8.700e-05
3.48,3.56,6.607e-05
3.56,3.56,4.985e-05
3.64,3.56,3.738e-05
3.72,3.56,2.785e-05
3.8,3.56,2.061e-05
3.88,3.56,1.516e-05
3.96,3.56,1.108e-05
-3.96,3.64,8.307e-06
-3.88,3.64,1.137e-05
-3.8,3.64,1.545e-05
-3.72,3.64,2.088e-05
-3.64,3.64,2.802e-05
-3.56,3.64,3.738e-05
-3.48,3.64,4.954e-05
-3.4,3.64,6.523e-05
-3.32,3.64,8.534e-05
-3.24,3.64,0.000111
-3.16,3.64,0.000143
-3.08,3.64,0.000184
-3,3.64,0.000235
-2.92,3.64,0.000297
-2.84,3.64,0.000374
-2.76,3.64,0.000468
-2.68,3.64,0.000582
-2.6,3.64,0.000719
-2.52,3.64,0.000882
-2.44,3.64,0.00108
-2.36,3.64,0.0013
-2.28,3.64,0.00157
-2.2,3.64,0.00188
-2.12,3.64,0.00223
-2.04,3.64,0.00264
-1.96,3.64,0.00309
-1.88,3.64,0.00361
-1.8,3.64,0.00418
-1.72,3.64,0.00481
-1.64,3.64,0.0055
-1.56,3.64,0.00625
-1.48,3.64,0.00706
-1.4,3.64,0.00793
-1.32,3.64,0.00884
-1.24,3.64,0.00979
-1.16,3.64,0.0108
-1.08,3.64,0.0118
-1,3.64,0.0128
-0.92,3.64,0.0138
-0.84,3.64,0.0148
-0.76,3.64,0.0158
-0.68,3.64,0.0168
-0.6,3.64,0.0176
-0.52,3.64,0.0184
-0.44,3.64,0.0192
-0.36,3.64,0.0198
-0.28,3.64,0.0203
-0.2,3.64,0.0207
-0.12,3.64,0.021
-0.04,3.64,0.0211
0.04,3.64,0.0211
0.12,3.64,0.021
0.2,3.64,0.0207
0.28,3.64,0.0203
0.36,3.64,0.0198
0.44,3.64,0.0192
0.52,3.64,0.0184
0.6,3.64,0.0176
0.68,3.64,0.0168
0.76,3.64,0.0158
0.84,3.64,0.0148
0.92,3.64,0.0138
1,3.64,0.0128
1.08,3.64,0.0118
1.16,3.64,0.0108
1.24,3.64,0.00979
1.32,3.64,0.00884
1.4,3.64,0.00793
1.48,3.64,0.00706
1.56,3.64,0.00625
1.64,3.64,0.0055
1.72,3.64,0.00481
1.8,3.64,0.00418
1.88,3.64,0.00361
1.96,3.64,0.00309
2.04,3.64,0.00264
2.12,3.64,0.00223
2.2,3.64,0.00188
2.28,3.64,0.00157
2.36,3.64,0.0013
2.44,3.64,0.00108
2.52,3.64,0.000882
2.6,3.64,0.000719
2.68,3.64,0.000582
2.76,3.64,0.000468
2.84,3.64,0.000374
2.92,3.64,0.000297
3,3.64,0.000235
3.08,3.64,0.000184
3.16,3.64,0.000143
3.24,3.64,0.000111
3.32,3.64,8.534e-05
3.4,3.64,6.523e-05
3.48,3.64,4.954e-05
3.56,3.64,3.738e-05
3.64,3.64,2.802e-05
3.72,3.64,2.088e-05
3.8,3.64,1.545e-05
3.88,3.64,1.137e-05
3.96,3.64,8.307e-06
-3.96,3.72,6.188e-06
-3.88,3.72,8.468e-06
-3.8,3.72,1.151e-05
-3.72,3.72,1.555e-05
-3.64,3.72,2.088e-05
-3.56,3.72,2.785e-05
-3.48,3.72,3.690e-05
-3.4,3.72,4.859e-05
-3.32,3.72,6.358e-05
-3.24,3.72,8.266e-05
-3.16,3.72,0.000107
-3.08,3.72,0.000137
-3,3.72,0.000175
-2.92,3.72,0.000221
-2.84,3.72,0.000279
-2.76,3.72,0.000349
-2.68,3.72,0.000434
-2.6,3.72,0.000536
-2.52,3.72,0.000657
-2.44,3.72,0.000802
-2.36,3.72,0.000971
-2.28,3.72,0.00117
-2.2,3.72,0.0014
-2.12,3.72,0.00166
-2.04,3.72,0.00196
-1.96,3.72,0.0023
-1.88,3.72,0.00269
-1.8,3.72,0.00311
-1.72,3.72,0.00358
-1.64,3.72,0.0041
-1.56,3.72,0.00466
-1.48,3.72,0.00526
-1.4,3.72,0.0059
-1.32,3.72,0.00658
-1.24,3.72,0.00729
-1.16,3.72,0.00803
-1.08,3.72,0.00878
-1,3.72,0.00954
-0.92,3.72,0.0103
-0.84,3.72,0.0111
-0.76,3.72,0.0118
-0.68,3.72,0.0125
-0.6,3.72,0.0131
-0.52,3.72,0.0137
-0.44,3.72,0.0143
-0.36,3.72,0.0147
-0.28,3.72,0.0151
-0.2,3.72,0.0154
-0.12,3.72,0.0156
-0.04,3.72,0.0157
0.04,3.72,0.0157
0.12,3.72,0.0156
0.2,3.72,0.0154
0.28,3.72,0.0151
0.36,3.72,0.0147
0.44,3.72,0.0143
0.52,3.72,0.0137
0.6,3.72,0.0131
0.68,3.72,0.0125
0.76,3.72,0.0118
0.84,3.72,0.0111
0.92,3.72,0.0103
1,3.72,0.00954
1.08,3.72,0.00878
1.16,3.72,0.00803
1.24,3.72,0.00729
1.32,3.72,0.00658
1.4,3.72,0.0059
1.48,3.72,0.00526
1.56,3.72,0.00466
1.64,3.72,0.0041
1.72,3.72,0.00358
1.8,3.72,0.00311
1.88,3.72,0.00269
1.96,3.72,0.0023
2.04,3.72,0.00196
2.12,3.72,0.00166
2.2,3.72,0.0014
2.28,3.72,0.00117
2.36,3.72,0.000971
2.44,3.72,0.000802
2.52,3.72,0.000657
2.6,3.72,0.000536
2.68,3.72,0.000434
2.76,3.72,0.000349
2.84,3.72,0.000279
2.92,3.72,0.000221
3,3.72,0.000175
3.08,3.72,0.000137
3.16,3.72,0.000107
3.24,3.72,8.266e-05
3.32,3.72,6.358e-05
3.4,3.72,4.859e-05
3.48,3.72,3.690e-05
3.56,3.72,2.785e-05
3.64,3.72,2.088e-05
3.72,3.72,1.555e-05
3.8,3.72,1.151e-05
3.88,3.72,8.468e-06
3.96,3.72,6.188e-06
-3.96,3.8,4.581e-06
-3.88,3.8,6.268e-06
-3.8,3.8,8.522e-06
-3.72,3.8,1.151e-05
-3.64,3.8,1.545e-05
-3.56,3.8,2.061e-05
-3.48,3.8,2.732e-05
-3.4,3.8,3.597e-05
-3.32,3.8,4.706e-05
-3.24,3.8,6.118e-05
-3.16,3.8,7.903e-05
-3.08,3.8,0.000101
-3,3.8,0.000129
-2.92,3.8,0.000164
-2.84,3.8,0.000206
-2.76,3.8,0.000258
-2.68,3.8,0.000321
-2.6,3.8,0.000397
-2.52,3.8,0.000487
-2.44,3.8,0.000593
-2.36,3.8,0.000719
-2.28,3.8,0.000866
-2.2,3.8,0.00104
-2.12,3.8,0.00123
-2.04,3.8,0.00145
-1.96,3.8,0.00171
-1.88,3.8,0.00199
-1.8,3.8,0.0023
-1.72,3.8,0.00265
-1.64,3.8,0.00303
-1.56,3.8,0.00345
-1.48,3.8,0.0039
-1.4,3.8,0.00437
-1.32,3.8,0.00487
-1.24,3.8,0.0054
-1.16,3.8,0.00594
-1.08,3.8,0.0065
-1,3.8,0.00706
-0.92,3.8,0.00763
-0.84,3.8,0.00818
-0.76,3.8,0.00872
-0.68,3.8,0.00924
-0.6,3.8,0.00973
-0.52,3.8,0.0102
-0.44,3.8,0.0106
-0.36,3.8,0.0109
-0.28,3.8,0.0112
-0.2,3.8,0.0114
-0.12,3.8,0.0116
-0.04,3.8,0.0116
0.04,3.8,0.0116
0.12,3.8,0.0116
0.2,3.8,0.0114
0.28,3.8,0.0112
0.36,3.8,0.0109
0.44,3.8,0.0106
0.52,3.8,0.0102
0.6,3.8,0.00973
0.68,3.8,0.00924
0.76,3.8,0.00872
0.84,3.8,0.00818
0.92,3.8,0.00763
1,3.8,0.00706
1.08,3.8,0.0065
1.16,3.8,0.00594
1.24,3.8,0.0054
1.32,3.8,0.00487
1.4,3.8,0.00437
1.48,3.8,0.0039
1.56,3.8,0.00345
1.64,3.8,0.00303
1.72,3.8,0.00265
1.8,3.8,0.0023
1.88,3.8,0.00199
1.96,3.8,0.00171
2.04,3.8,0.00145
2.12,3.8,0.00123
2.2,3.8,0.00104
2.28,3.8,0.000866
2.36,3.8,0.000719
2.44,3.8,0.000593
2.52,3.8,0.000487
2.6,3.8,0.000397
2.68,3.8,0.000321
2.76,3.8,0.000258
2.84,3.8,0.000206
2.92,3.8,0.000164
3,3.8,0.000129
3.08,3.8,0.000101
3.16,3.8,7.903e-05
3.24,3.8,6.118e-05
3.32,3.8,4.706e-05
3.4,3.8,3.597e-05
3.48,3.8,2.732e-05
3.56,3.8,2.061e-05
3.64,3.8,1.545e-05
3.72,3.8,1.151e-05
3.8,3.8,8.522e-06
3.88,3.8,6.268e-06
3.96,3.8,4.581e-06
-3.96,3.88,3.369e-06
-3.88,3.88,4.610e-06
-3.8,3.88,6.268e-06
-3.72,3.88,8.468e-06
-3.64,3.88,1.137e-05
-3.56,3.88,1.516e-05
-3.48,3.88,2.009e-05
-3.4,3.88,2.646e-05
-3.32,3.88,3.461e-05
-3.24,3.88,4.500e-05
-3.16,3.88,5.813e-05
-3.08,3.88,7.461e-05
-3,3.88,9.515e-05
-2.92,3.88,0.000121
-2.84,3.88,0.000152
-2.76,3.88,0.00019
-2.68,3.88,0.000236
-2.6,3.88,0.000292
-2.52,3.88,0.000358
-2.44,3.88,0.000436
-2.36,3.88,0.000529
-2.28,3.88,0.000637
-2.2,3.88,0.000762
-2.12,3.88,0.000905
-2.04,3.88,0.00107
-1.96,3.88,0.00125
-1.88,3.88,0.00146
-1.8,3.88,0.0017
-1.72,3.88,0.00195
-1.64,3.88,0.00223
-1.56,3.88,0.00254
-1.48,3.88,0.00286
-1.4,3.88,0.00321
-1.32,3.88,0.00358
-1.24,3.88,0.00397
-1.16,3.88,0.00437
-1.08,3.88,0.00478
-1,3.88,0.0052
-0.92,3.88,0.00561
-0.84,3.88,0.00602
-0.76,3.88,0.00642
-0.68,3.88,0.0068
-0.6,3.88,0.00715
-0.52,3.88,0.00748
-0.44,3.88,0.00778
-0.36,3.88,0.00803
-0.28,3.88,0.00824
-0.2,3.88,0.0084
-0.12,3.88,0.0085
-0.04,3.88,0.00856
0.04,3.88,0.00856
0.12,3.88,0.0085
0.2,3.88,0.0084
0.28,3.88,0.00824
0.36,3.88,0.00803
0.44,3.88,0.00778
0.52,3.88,0.00748
0.6,3.88,0.00715
0.68,3.88,0.0068
0.76,3.88,0.00642
0.84,3.88,0.00602
0.92,3.88,0.00561
1,3.88,0.0052
1.08,3.88,0.00478
1.16,3.88,0.00437
1.24,3.88,0.00397
1.32,3.88,0.00358
1.4,3.88,0.00321
1.48,3.88,0.00286
1.56,3.88,0.00254
1.64,3.88,0.00223
1.72,3.88,0.00195
1.8,3.88,0.0017
1.88,3.88,0.00146
1.96,3.88,0.00125
2.04,3.88,0.00107
2.12,3.88,0.000905
2.2,3.88,0.000762
2.28,3.88,0.000637
2.36,3.88,0.000529
2.44,3.88,0.000436
2.52,3.88,0.000358
2.6,3.88,0.000292
2.68,3.88,0.000236
2.76,3.88,0.00019
2.84,3.88,0.000152
2.92,3.88,0.000121
3,3.88,9.515e-05
3.08,3.88,7.461e-05
3.16,3.88,5.813e-05
3.24,3.88,4.500e-05
3.32,3.88,3.461e-05
3.4,3.88,2.646e-05
3.48,3.88,2.009e-05
3.56,3.88,1.516e-05
3.64,3.88,1.137e-05
3.72,3.88,8.468e-06
3.8,3.88,6.268e-06
3.88,3.88,4.610e-06
3.96,3.88,3.369e-06
-3.96,3.96,2.462e-06
-3.88,3.96,3.369e-06
-3.8,3.96,4.581e-06
-3.72,3.96,6.188e-06
-3.64,3.96,8.307e-06
-3.56,3.96,1.108e-05
-3.48,3.96,1.468e-05
-3.4,3.96,1.933e-05
-3.32,3.96,2.530e-05
-3.24,3.96,3.289e-05
-3.16,3.96,4.248e-05
-3.08,3.96,5.453e-05
-3,3.96,6.954e-05
-2.92,3.96,8.812e-05
-2.84,3.96,0.000111
-2.76,3.96,0.000139
-2.68,3.96,0.000173
-2.6,3.96,0.000213
-2.52,3.96,0.000262
-2.44,3.96,0.000319
-2.36,3.96,0.000386
-2.28,3.96,0.000465
-2.2,3.96,0.000557
-2.12,3.96,0.000662
-2.04,3.96,0.000781
-1.96,3.96,0.000917
-1.88,3.96,0.00107
-1.8,3.96,0.00124
-1.72,3.96,0.00143
-1.64,3.96,0.00163
-1.56,3.96,0.00185
-1.48,3.96,0.00209
-1.4,3.96,0.00235
-1.32,3.96,0.00262
-1.24,3.96,0.0029
-1.16,3.96,0.00319
-1.08,3.96,0.00349
-1,3.96,0.0038
-0.92,3.96,0.0041
-0.84,3.96,0.0044
-0.76,3.96,0.00469
-0.68,3.96,0.00497
-0.6,3.96,0.00523
-0.52,3.96,0.00547
-0.44,3.96,0.00568
-0.36,3.96,0.00587
-0.28,3.96,0.00602
-0.2,3.96,0.00614
-0.12,3.96,0.00621
-0.04,3.96,0.00625
0.04,3.96,0.00625
0.12,3.96,0.00621
0.2,3.96,0.00614
0.28,3.96,0.00602
0.36,3.96,0.00587
0.44,3.96,0.00568
0.52,3.96,0.00547
0.6,3.96,0.00523
0.68,3.96,0.00497
0.76,3.96,0.00469
0.84,3.96,0.0044
0.92,3.96,0.0041
1,3.96,0.0038
1.08,3.96,0.00349
1.16,3.96,0.00319
1.24,3.96,0.0029
1.32,3.96,0.00262
1.4,3.96,0.00235
1.48,3.96,0.00209
1.56,3.96,0.00185
1.64,3.96,0.00163
1.72,3.96,0.00143
1.8,3.96,0.00124
1.88,3.96,0.00107
1.96,3.96,0.000917
2.04,3.96,0.000781
2.12,3.96,0.000662
2.2,3.96,0.000557
2.28,3.96,0.000465
2.36,3.96,0.000386
2.44,3.96,0.000319
2.52,3.96,0.000262
2.6,3.96,0.000213
2.68,3.96,0.000173
2.76,3.96,0.000139
2.84,3.96,0.000111
2.92,3.96,8.812e-05
3,3.96,6.954e-05
3.08,3.96,5.453e-05
3.16,3.96,4.248e-05
3.24,3.96,3.289e-05
3.32,3.96,2.530e-05
3.4,3.96,1.933e-05
3.48,3.96,1.468e-05
3.56,3.96,1.108e-05
3.64,3.96,8.307e-06
3.72,3.96,6.188e-06
3.8,3.96,4.581e-06
3.88,3.96,3.369e-06
3.96,3.96,2.462e-06
